,제목,가사
47,난 잠시 즐거워서 조금 슬플 거예요,<인디>하늘 위 새들의 높이를 가늠하다 놀이가 끝나 버렸네 저만치 흘러간 시간은 내 어깨엔 다시 내려앉지 않겠지 난 잠시 즐거워서 이젠 지겨워졌지 남아있는 새들도 날려 보내야지 아 새 노래로 이별을 부를게요 아 나지막이 읊어 줄게요 난 잠시 즐거워서 조금 슬플 거예요 정말 길진 않을 거예요 짤막한 노래예요 노래가 끝나면 난 슬퍼하지 않아요 아마 그때 나는 그저 무리 지어 다니는 게 즐거웠던 거겠지 이제 앞으로 난 무리하진 않을 것 같아 여름은 잠시뿐이야 난 잠시 즐거워서 이젠 지겨워졌지 남아있는 새들도 날려 보내야지 아 새 노래로 이별을 부를게요 아 나지막이 읊어 줄게요 난 잠시 즐거워서 조금 슬플 거예요 정말 길진 않을 거예요 짤막한 노래예요 노래가 끝나면 난 슬퍼하지 않아 난 잠시 즐거워서 조금 슬플 거예요 길진 않을 거예요 짧은 노래예요 이 노래가 끝나면 슬퍼하지 않아요
49,느린 춤,<인디>나는 고갤 저었지 아무 말도 안 했지 어차피 변명이니까 말해봤자 입만 아프다고 한참을 머뭇거렸지 내가 나로 살기엔 나는 너무 외로운데 너도 나와 같아 보이네 아 나는 느린 춤을 추고 싶은데 아 하루를 제대로 나 알고 싶은데 다가올 내일을 붙잡으려 하면 아 나는 느린 춤을 출 수 없는데 오늘을 돌봐야겠지 내일도 행복하려면 하지만 난 이미 벌써 내일이 맘에 들지 않는데 그래서 눈을 감았지 기억 안 날 꿈을 꾸려고 문득 눈을 떠보니 내일이 오늘이 되어있네 아 나는 느린 춤을 추고 싶은데 아 하루를 제대로 나 알고 싶은데 다가올 내일을 붙잡으려 하면 아 나는 느린 춤을 출 수 없는데 하루하루 하루는 하루만 바라보게 해 내일은 내일만 마주보게 해 아 나는 느린 춤을 추고 싶은데 아 하루를 제대로 나 알고 싶은데 다가올 내일을 붙잡으려 하면 아 나는 느린 춤을 출 수 없는데
50,On And On,<인디>01 세상은 너무 달라 늘 예상 밖이었지 다른 점이 너무나 많았지 그래도 사랑할 수만 있다면 모두 괜찮을 거야 서로 다른 소리 모서리에 부딪히려 할 때 난 적당한 화음을 쌓을게 그래야 사랑이니까 그래 알아 우린 모두 달라 아름다운 사람이야 사랑 받을 사람이야 
51,호랑이의 숲,<인디>어둠이 짙게 깔리던 밤 작은 두 눈을 가려줬더니 밤이 온 줄 모르고 놀아달라 보채던 네게 호랑이 얘길 해줬지 저기 저 먼 북쪽 끝에 숲엔 호랑이들이 살고 있단다 지금은 모르겠구나 얼마나 살고 있을지 아마 넌 볼 수도 있겠구나 호랑이들은 함께 살았는데 언제부턴가 흩어져 간대요 아이야 너는 나중에 커서 숲에 가 봤으면 좋겠다 언제가 될진 모른대요 우리가 다시 만날 날이 호랑이의 숲에 우리 언젠가는 함께 가 봤으면 좋겠어요 만약 그날이 다가오면 아마 추운 겨울이 될 거야 한파를 이겨내야만 서로를 이해할 거야 눈이 흘러 내려야만 호랑이들은 함께 살았는데 언제부턴가 흩어져 간대요 아이야 너는 나중에 커서 숲에 가 봤으면 좋겠다 언제가 될진 모른대요 우리가 다시 만날 날이 호랑이의 숲에 우리 언젠가는 함께 가 봤으면 좋겠어요 낮은 마음을 더 높여봐요 하나가 될 때 빛이 난대요 호랑이의 숲에 우리 언젠가는 함께 가 봤으면 좋겠어요 함께 가 봤으면 좋겠어요
52,지친 마음,<인디>나보다 먼저 무너지지 말아요 그렇다고 무뎌지면 안돼요 내가 힘들 때 언제든 기댈 수 있게 민들레가 되어줘요 멀리 생각할 여유가 없어요 어린 맘은 쉽게 눈 감지 못해서 어른이 담근 술을 마셔야 해 이런 나는 숨 죽여야만 해서 그저 그런 사람이 되나 봐요 이런 나의 모습이 싫어질 지 몰라요 미련 남은 꿈들이 닳아 없어질지도 몰라서 말해요 나 혼자 눈물 흘리게 하지 마요 꽃 피우지도 못했어요 아름다운 걸 내게 알려줘요 꼭 한번 부탁해요 내가 망설이는 이유를 아나요 큰 말썽부린 적도 없는데 나를 착하다고 말하는 저 사람들에게 나는 나약할 뿐인 걸요 이런 나의 모습이 싫어질 지 몰라요 미련 남은 꿈들이 닳아 없어질지도 몰라서 말해요 나 혼자 눈물 흘리게 하지 마요 꽃 피우지도 못했어요 아름다운 걸 내게 알려줘요 꼭 한번 부탁해요 나보다 먼저 무너지지 말아요 그렇다고 무뎌지면 안돼요 내가 힘들 때 언제든 기댈 수 있게 민들레가 되어줘요
53,공,<인디>사람들의 말에 귀 기울인 적 없어요 묻는 말에 꼬박꼬박 답한 적 없고요 잘했대요 난 자라고 있대요 이런 말에 어떻게 답하나요 사람들은 나를 믿지 않는 게 좋아 나도 나를 온전히 믿지 못하니까 묻지 말아요 몰아 세우지 마요 믿지 말고 그냥 사랑해줘요 될 법한 말들은 어딘가 모자라 그럴듯한 말은 왠지 모호해 그런 말은 나 말고 허공에 던져요 난 멀리서 지켜 볼래요 말이 공이라면 부풀려야지 바람 빠진 공은 재미 없으니까 멀리서 놀아요 난 다치긴 싫어요 사람 없는 곳에서 놀아요 될 법한 말들은 어딘가 모자라 그럴듯한 말은 왠지 모호해 그런 말은 나 말고 허공에 던져요 난 멀리서 지켜 볼래요 말 말 말 뿐이라면 난 무슨 얘길 해야 할까요 날 날 믿지 말아요 묻지 말아요 그냥 사랑해요 말 말 말 뿐이라면 난 무슨 얘길 해야 할까요 날 날 믿지 말아요 묻지 말아요 그냥 사랑해요 될 법한 말들은 어딘가 모자라 그럴듯한 말은 왠지 모호해 그런 말은 나 말고 허공에 던져요 난 멀리서 지켜 볼래요
55,홰홰,<인디>그 장면에 날 끼워 넣지 마 난 조용히 살고 싶을 뿐이야 손을 홰홰 내저어 봐도 넌 듣지를 않지 어디로 가는진 묻지 마 근사한 계획 따윈 없으니까 날마다 난 날이 선 채로 돌아다닐 거야 할 말은 많지만 말하지 않을 거야 아직 견딜만한 걸요 떠날 준비는 생각 없이 해 고민하다간 정말 늦어 불이 활활 타오르는 건 나의 작품인 걸 할 말은 많지만 말하지 않을 거야 아직 견딜만한 걸요 아직 멀었어요 갈 길이 한참 남았어요 할 말은 많지만 말하지 않을 거야 아직 견딜만한 걸요
56,파수꾼,<인디>멀어지는 건 생각보다 쉬워요 게을러지면 돼요 털어버린 우리 사이의 가치는 주운 사람이 알겠죠 아쉬운 그림자는 미운 그림이 되어 동이 트기 전 내 마음에 걸리게 될 거예요 예쁜 것들은 그대 줄게요 아무 일도 아녜요 미운 사람이 되는 건 고운 사람보다 되기 쉬운 걸요 이대로 만 번 정도 반복하다 보면 나는 어떤 사람이 될까요 의외겠지만 난 게으르지 않아요 부지런한 파수꾼인 걸요 난 나를 지키는 사람일 뿐이라 그렇게 보이나 봐요 멀리 나가지는 못해요 내 곁에 와줘요 그래준다면 꽃송이를 선물로 줄게요 예쁜 것들로 담아 줄게요 아무 일도 아녜요 미운 사람이 되는 건 고운 사람보다 되기 쉬운 걸요 이대로 만 번 정도 반복하다 보면 나는 어떤 사람이 될까요 이런 나와 함께 해준 사람들이 좋아요 사랑을 줘야 한다면 그들에게 줄 거야 예쁜 것들만 담아 줄 거야 아무 일도 아녜요 미운 사람이 되는 건 고운 사람보다 되기 쉬운 걸요 이대로 만 번 정도 반복하다 보면 나는 어떤 사람이 될까요 그대를 지킬 수는 있을까요
58,요새,<인디>솔직히 나 요새는 별생각이 안 들어 말하자면 난 지금 무너지기 쉬운 거야 내가 지켜왔던 작은 요새엔 쓸모없는 게 너무 많아 어서 와서 가져가 전부 네게 줄 테니 아무것도 남지 않았을 때 나 다시 날 지켜볼게 반짝이는 건 이젠 상관없어 자 모두 가져가 저 멋진 에덴에 아무도 살지 못하듯이 나에겐 더 이상 내어줄 곳 없는 거야 불만이 아냐 단지 무료할 뿐야 그래서 그런가 난 지켜만 봤지 아무것도 남지 않았을 때 나 다시 날 지켜볼게 반짝이는 건 이젠 상관없어 자 모두 가져가 아 마음에 변화가 생겼을 때 나 다시 날 채워 볼게 반짝이는 건 이젠 상관없어 자 모두 가져가
59,손깍지,<인디>내가 지금부터 할 말은 틀어지고 멀어진 것들의 울분 포위당해 굴복한 사랑의 포효 남겨진 것들의 축도 여운이 남겠지 가슴 벅찬 감정에 한 번 빠져보지 못하고 또 술렁이겠지 어슬렁거리다 만 마음은 쉬지 못하겠지 그러니 낭만을 택한 널 위해 나 잠시 손깍지를 낄게 나아갈 이에겐 태양을 무너질 땐 쉴 만한 물가를 부끄럼 많은 여정을 마치면 못다한 얘길 나누자 졸린 눈을 뜨겠지 몰려 있는 발자국들을 피해 나아가려면 꽤 힘이 들겠지 노려보는 사자는 마음껏 날 놀리겠지 그러니 낭만을 택한 널 위해 나 잠시 손깍지를 낄게 나아갈 이에겐 태양을 무너질 땐 쉴 만한 물가를 부끄럼 많은 여정을 마치면 못다한 얘길 나누자 내가 지금까지 한 말은 틀어지고 멀어진 것들의 울분 포위당해 굴복한 사랑의 포효 남겨진 것들의 축도
61,빙그르르 (Feat. greenblue),<인디>이건 네가 나타났다는 거겠지 너는 바람에도 색을 입히나 봐 차갑고 무거웠던 공기도 금세 포근해지고 나는 숨처럼 너를 마시고 피우고 삼키지 빙그르르 내 세상은 너를 중심으로 회전하고 핑그르르 네 손을 잡으면 스르르르 으으으음 영원히 변치 않길 바라며 맘 졸일 필요 없이 그저 너의 손 잡고 널 담고 사뿐히 흩날리지 빙그르르 내 세상은 너를 중심으로 회전하고 핑그르르 네 손을 잡으면 스르르르 으으으음 이건 네가 나타났다는 거겠지
63,조금 일찍 알았더라도 (Finale),<인디>여전히 불타오르는 호랑이의 눈빛과 항상 떠나고 싶은 갈대 바람 같은 마음 들꽃 사이로 불어와 소녀의 귓가에 앉아 어딘가 돌고 돌다 내 마음을 흔드네 불현듯 스쳐 지나간 막연한 그리운 감정 표현하기엔 어려워 빛바랜 사진들처럼 이제 와 새삼스레 잠든 기억을 꺼내 나 홀로 그네를 타네 멈추질 않네 마지막에 남겨질 것들이 나의 기억뿐이란 걸 조금 일찍 알았더라도 변하진 않았을 거야 가슴 한 켠에 담아둔 너의 입술의 감촉 설렘에 취한 젊음의 열매는 설익은 맛이네 그때는 몰랐지만 그때가 행복했네 나중엔 지금의 내가 훨씬 그립겠지 마지막에 남겨질 것들이 나의 기억뿐이란 걸 조금 일찍 알았더라도 변하진 않았을 거야 마지막에 남겨질 것들이 나의 기억뿐이란 걸 조금 일찍 알았더라도 변할 순 없었을 거야
65,궁전,<인디> 모두 잠에 들 시간이야 입을 맞추면 눈을 감아줘요 밤 하늘이 길을 열어요 궁전으로 데려다줄게요 밤이 오지 않는 방에 누울 필요 없어요 밤은 어디서든 오고 모두를 잠들게 하니 아마 당신의 방은 쉼터가 되지 못하니 궁전으로 데려다줄게요 끝난 하루는 더 깊어져 가요 곧 있으면 새벽이 올 거야 몰래 한숨 돌리러 가요 궁전으로 데려다줄게요 밤이 오지 않는 방에 누울 필요 없어요 밤은 어디서든 오고 모두를 잠들게 하니 아마 당신의 방은 쉼터가 되지 못하니 궁전으로 데려다줄게요 꿈나라엔 아무것도 없게 할게요 편히 몸을 누이고 잠에 들면 돼 밤이 오지 않는 방에 누울 필요 없어요 밤은 어디서든 오고 모두를 잠들게 하니 아마 당신의 방은 쉼터가 되지 못하니 궁전으로 데려다줄게요
66,목욕,<인디>구름 떼가 몰려오는 날엔 낮은 하늘을 기대할 수 있고 고독 비슷한 것에 잠긴 내 마음을 넘쳐 흘려 비우고 새 잔을 만드네 아 못 견디게 천박하고 고결한 마음아 땅에 누인 몸을 일으켜 세워주렴 곧 비가 온단다 허리춤까지 올라 기댄 손을 내리면 주저 말고 내 영혼 씻기러 가요 머리끝까지 묻은 화를 털어내려면 비가 올 때 목욕 한 번 해요 비가 올 때 목욕 한 번 해요 사랑을 거스른 어두운 날이면 크게 뉘우친 시절 기억 못 하지 사랑을 거슬러 오른 밤이면 내 처음 모습을 잠시 생각하지 아 못 견디게 허망하고 순수한 마음아 땅에 누인 몸을 일으켜 세워주렴 곧 비가 온단다 허리춤까지 올라 기댄 손을 내리면 주저 말고 내 영혼 씻기러 가요 머리끝까지 묻은 화를 털어내려면 비가 올 때 목욕 한 번 해요 허리춤까지 올라 기댄 손을 내리면 주저 말고 내 영혼 씻기러 가요 머리끝까지 묻은 화를 털어내려면 비가 올 때 목욕 한 번 해요 비가 올 때 목욕 한 번 해요
67,맞불,<인디>내가 네 마음 가는 대로 하라고 했잖아 망설이면 누가 채어갈 거라고 했잖아 망가져도 다시 일어서야 하니까 지기 전에 불씨 하나는 지펴 놓아야만 해 불시에 불붙으면 큰불이 되는 거지 한바탕 불태우고 신나게 노는 거야 멈추고 싶어질 때 맞불을 놓아줄게 네 마음 네 마음대로 해 구경난 사람들은 저대로 내버려 둬 하루 종일 볼거리만 찾아 헤매니까 저 사람들에게 우린 불꽃놀이야 지기 전에 불씨 하나는 지펴 놓아야만 해 불시에 불붙으면 큰불이 되는 거지 한바탕 불태우고 신나게 노는 거야 멈추고 싶어질 때 맞불을 놓아줄게 네 마음 네 마음대로 해 불시에 불붙으면 큰불이 되는 거지 한바탕 불태우고 신나게 노는 거야 멈추고 싶어질 때 맞불을 놓아줄게 네 마음 네 마음대로 해 네 마음 네 마음대로 해
68,찻잔,<인디>우리 아주 멀리 가자 아무도 찾지 못하게 우리에서 벗어나자 찻잔이 아직 뜨거울 때 누군가의 맘에 들고나면 식어버리는 건 금방이니까 우리의 잔이 아직 뜨거울 때 일어나자 애써 견뎌낸 일들은 써서 못 마시니까 애석하게도 그게 이미 사실이니까 새로 한 잔을 내려 달아난 곳을 보며 마셔 살아있다 느낄 거야 또 다른 잔을 내려 마른 잎을 우리고 나면 누려온 걸 알게 될 거야 이 도시에 감춰 놓은 게 뭔지 딱히 궁금하진 않으니까 보물찾기는 그만하고 집에 가자 원하는 게 아닐 것 같아서 벌써부터 감이 안 좋아서 식어버린 잔은 버리고 집에 가자 애써 견뎌낸 일들은 써서 못 마시니까 애석하게도 그게 이미 사실이니까 새로 한 잔을 내려 달아난 곳을 보며 마셔 살아있다 느낄 거야 또 다른 잔을 내려 마른 잎을 우리고 나면 누려온 걸 알게 될 거야 새로 한 잔을 내려 달아난 곳을 보며 마셔 살아있다 느낄 거야 또 다른 잔을 내려 마른 잎을 우리고 나면 누려온 걸 알게 될 거야
